Process,Narrative,SME Hazard Type Label,,SME Severity Label
Employee Suggestion,"there is so many SACB in every area to be available to use when there is a emergency going on to escape from the area and go to assembly area and the is very good. However, all self breathing cylinders are in the ground for that this my recommendatio",Safety - fire and explosion,,
QSI Observation,"NGL#1, top platform, North stair side, there is one spring support has a missing nut.",None - minor maintenance,,
Employee Suggestion,"I notice that when we went to assembly point during the emergency at 06/26/18 many people facing hard time while they were staying out side, and this may cause many health issues, like sun stroke, dehydration, and bleeding nose.",Safety - contact with chemicals,,
QSI Observation,PIB-5 LOG Book not maintainaed and last date 01-16-2018,None - minor maintenance,,
Employee Suggestion,At CGTG#G in PEECC there is a tags not Aramco standard (instructions) on cubical.,Others,,
QSI Observation,Housekeeping - Tools left on the ground besides pump B91-G-0205B. All objects on the floor must be removed as they are step hazard.,Safety - slip trip and fall,,
Employee Suggestion,"In case of door is opened, someone on the other side can't see it and he will face the door.",Safety - slip trip and fall,,2C
QSI Observation,Instrument shop two florescent light not working,Safety - slip trip and fall,,
QSI Observation,Remove scaffolding pipe attached to gaurdrails nearby EM-0411 C,None - minor maintenance,,
QSI Observation,Room-121 Vibration Unit Exit sign not working,None - minor maintenance,,
Employee Suggestion,"When we get a propane level on the first suction scrubbers one of the way to get rid of the level by reduced to cryogenic, I propose to transfer this level the LP Economizer by install a pump located out from the first suction scrubbers.",None - minor maintenance,,
Employee Suggestion,The early stages of a spill clean up are the most critical. Sand filled spill barriers are designed as emergency or temporary solution to control the spell from expanding through plant OWS. it is not going to stop the gas release but it will help con,Safety - contact with chemicals,,
QSI Observation,B90-301-FP-001 at PIB-5 Log book not mantained and last updte is 10-01-2017,None - minor maintenance,,
QSI Observation,Scaffolding laying at RMU area and dust accumulated around it,Safety - slip trip and fall,,
Near Miss,about to fall down,Safety - slip trip and fall,,1C
Employee Suggestion,The floor area in NGL Admin Men's Toilet is not even. There is two holes ( for draining water) that is not equal with the rest of the floor which causes a falling hazardous. These two holes are clearly deeper than the rest of the floor area. Toilet a,Safety - slip trip and fall,,
QSI Observation,"Review and ensure proper installation of the drain blind flanges on recycle lines of HP K/O Drum Pump B58-G-0002B. The subject pump is lined-up, and stand-by, however some drain valves blind flanges are left loose and / or installed incorrectly, whic",None - minor maintenance,,
QSI Observation,Unused Opening at Instrument Junction box 22-FFJB-204 that is located at Pipe rack R-321 Beam C-304 at Gas Treat 2,None - minor maintenance,,1C
Employee Suggestion,New Solar Street Light near by NGL Admin Building & roundabout required to have Metal Guard Protection on the base to protected from any incident could happen,Safety - collision,,
QSI Observation,Verify the reason why the communication room door from substation 206 is open. Apply the required corrections.,Safety - electric,,
QSI Observation,B92-PIV-307 rabbing need repair,None - minor maintenance,,1C
Employee Suggestion,"Regarding the MOVs 2303 & 2304 are close to the platform handrail. Therefore during manual operation of the valve, the operator has to use the step ladder to reach the valve hand wheel. However, due to additional height required to reach the valve, i",Safety - slip trip and fall,,
QSI Observation,ZV-3028 bypass not caresealed,None - minor maintenance,,
QSI Observation,All Utilities Substation Exit Signs are not illuminated.,None - minor maintenance,,
Employee Suggestion,Line of Acid Gas coming from Gas teat unit and goes Residue Gas Manifold without any detector Alarm of H2S.,Safety - contact with chemicals,,
Employee Suggestion,I suggest to install High voltage caution at GM-0009C Local panel .,Safety - electric,,
Unsafe Condition,DOOR GROUND WIRE,Safety - slip trip and fall,,
QSI Observation,PZV-3037 at D-0630 without care seals,Safety - slip trip and fall,,
QSI Observation,Electrical Shop room-130 the Floor is very dirty require cleaning and painting,None,,
QSI Observation,Detached ground jumper from 22-LV-2108 that is located at the east side of B91-D-0202A at Gas Treat 2,None - minor maintenance,,
QSI Observation,eye wash # 004 has no cover,None - minor maintenance,,
QSI Observation,One missing face shield at RG1 Battery Room.,Safety - electric,,
Employee Suggestion,"To install Glowing Stickers at the team buildings, at monkey ladders inside the plant in order to escort people to exit during power blackouts. Glow in the Dark sticker absorbing light, then it starts to glow in the dark the moment the lights are swi",None - minor maintenance,,
QSI Observation,"Install arc flash hazard warning labels in all equipment as required by G.I. 2.721, for example: MCC-003/ XFR(T)-002 (B91-GT1-PP-021) MCC-003/ XFR(T)-003 (B91-GT1-PP-022) MCC-007/ XFR(T)-004 (B91-GT1-PP-023) MCC-007/ XFR(T)-005 (B91-GT1-PP-024) MCC-0",None - minor maintenance,,
Employee Suggestion,"I would like to add Exit Sign in PIB3A, at north door.I hope to install exit sign",Others,,
Unsafe Condition,63 - TI - 3605,None - minor maintenance,,
QSI Observation,RG1 Substation has some Exit Signs that were not illuminated.,None - minor maintenance,,1C
QSI Observation,Scaffolding materials are laying on the top platform in Acid Gas Tr.#1 and blocking the way.,None - minor maintenance,,
QSI Observation,Remove all old Arc Flash labels.,Safety - electric,,
Employee Suggestion,To provide CHB Sign for D-0045 CGTG Lube oil tank .,Safety - contact with chemicals,,
QSI Observation,"Fire hose FHR-08 the box the main valve wheel is broken since April ,2018",None - minor maintenance,,
QSI Observation,OWS #14 near B92-D-0051 (Cooling water tank) is dry.,None - minor maintenance,,
Near Miss,bearing house,Safety - fire and explosion,,1C
QSI Observation,Most of SCBA at NGL-2 & substation area under low pressure,None - minor maintenance,,
Employee Suggestion,SNGL emergency gates are not recognized by a color code. People in an emergency will not know immediately where is the gate as long as it looks like a normal fence from a distance.I propose to paint the emergency gate with a color code that will iden,Safety - fire and explosion,,
QSI Observation,back wash sump manway cover not clossing well,None - minor maintenance,,1C
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Oil leak on the hot oil pumps skids,Safety - contact with chemicals,,
QSI Observation,Two empty oilers at Lean Amine Pump B91-G0102B.,Safety - fire and explosion,,
QSI Observation,luncher are need housekeeping and remove unneeded material,None - minor maintenance,,
QSI Observation,Fire Water Pump B92-G-0061B pressure indicator 81-PI-3611 is reading zero psi. Inspect and repair or replace pressure indicator as necessary.,None - minor maintenance,,1C
Unsafe Condition,RELOCATE SSD LIGHTS PHOTO CELL,Safety - electric,,1C
QSI Observation,"Bldg. 304, HVAC Room 116. ?É¬¢?Ç‚Ç¨?Ç¬¢ 1 of 2 lights are burned out. Replace burned out lights. ?É¬¢?Ç‚Ç¨?Ç¬¢ Install arc flash warning labels in electrical panels (all panel are 480v).",None - minor maintenance,,4C
QSI Observation,10 out of 12 missing cover bolts form B92-GM-0099A-LCS-001 located at the west side of B92-D-0006B,None - minor maintenance,,
QSI Observation,CO2-10LB SAP#4523288(574) located outdoor Building#404,Safety - fire and explosion,,
QSI Observation,On plat ISF Substation#120 Exit sign not working in both doors,None - minor maintenance,,
Employee Suggestion,install block valve in the end for unloading FMDEA Hose,None - minor maintenance,,
Unsafe Condition,SLIP BALIND IN NITRGEN PAKEG,Safety - fire and explosion,,
Employee Suggestion,To have First Aid kit in SNGL Admin Dining.,Others,,
QSI Observation,There is small beam placed near D-0453 overhead oil tank,Safety - collision,,
Employee Suggestion,"Help Aramco Employee they working in the out sideas we know some time temperature reach 50 on the summer . However , some time need Fire wash to be stand by for 12 hours , this fan or air cooler will help to decrease the temperature. also automatical",Safety - contact with chemicals,,
Employee Suggestion,"I face many issues when I worked inside the turbine compartment at Cogan area for (CGTG A TO H) The vision inside is very bad. Also, it's consider as a confined space.",Others,,
Employee Suggestion,our wind sock in the plant it does not have reflector for light and in the night we can not sea it well,Safety - contact with chemicals,,2C
Unsafe Condition,The cover for fan motor for GM-0005 B is broken.completed,None - minor maintenance,,
QSI Observation,Office for A/C Supervisor the wall is very dirty require cleaning or painting,None,,
Employee Suggestion,Lobe oil reservoirs ladder needs to evaluated due to design issue. it is very difficult to grasp by hand during clumping due to rough ladder.,Safety - slip trip and fall,,
Employee Suggestion,To provide CHB Sign for D-0071 Compressor Lube oil tank .,Safety - contact with chemicals,,
Employee Suggestion,Remove extension cord and install permanent receptacle nearby the electrical appliances.,Safety - collision,,
QSI Observation,NGL-2 gas cooler area needs general housekeeping,None - minor maintenance,,
QSI Observation,Remove all unnecessary materials such as gaskets from OME maintenance shop,None - minor maintenance,,
Employee Suggestion,"I have noticed that the Assembly area for the maintenance building 102 is not shaded , which led the employees at the drills to stay in the shade which is not a designated place at real emergencies which could lead to injuries , however staying in th",Others,,
Near Miss,Cable trays damage.,None - minor maintenance,,2C
Incident Report,BURNED HAND - EMPLOYEE # 752823 TOUCHED A HOT OBJECT IN RIYADH,Safety - fire and explosion,,2C
Employee Suggestion,"For D-107/207 there are two block valves on the line going to the cryogenic burn pit. However, the upper block valve is unreachable. Sometimes we need this valve to be opened because if this drum gets HH or LL level will cause total shutdown and inte",Safety - fire and explosion,,
QSI Observation,"According to SAES-B-67, all Safety &Health valves must be color coded while there were some them noticed not colored especially for ZVs Instrument air valves and safety eye wash.",Safety - contact with chemicals,,
Employee Suggestion,"I suggest having lockers at operation shelters to keep the cell phones for employees who visit the site. Some visitors take their cellphones with them to the site because they can not leave them back at their offices ,which can be far from the area, ",Safety - collision,,
QSI Observation,Most of NGL-2 area safety equipments were inspected by FrPD & proponent,None,,
QSI Observation,Relocate the lager bucket away of the substation,None - minor maintenance,,1C
QSI Observation,Instrument Air PLC has unacknowledged alarms.,None - minor maintenance,,
QSI Observation,The crane inside maintenance workshop is expired need to be inspected and to be valid.,Others,,
QSI Observation,Remove all unneeded materials from Admin electrical room.,None - minor maintenance,,
Incident Report,MULTIPLE INJURIES - EMPLOYEE #748152 FELL OFF A LADDER IN SHAYBAH NGL RECOVERY PLANT.,Safety - collision,,3C
QSI Observation,PZV-2040 at D-0667 (O2 excavanger storage) without care seals,Safety - contact with chemicals,,
QSI Observation,Internal cabinet lights are on for most of the cabinets in PIB 3B,Safety - fire and explosion,,
Near Miss,Damaged cable tray,Safety - collision,,3C
Unsafe Condition,METHANOL INJECTION TANK IN SHIPPER PUMPS,Safety - contact with chemicals,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ 4 small scaffold erected and attached to each corner for Fin Fan Cooler B48-E-0202 need to be removed.,Safety - contact with chemicals,,
QSI Observation,B90-D-0201 B level bridles drain to OWS blind in open postion,Others,,
QSI Observation,Exit sign in PIB-1 UPS Room #1 not working,None - minor maintenance,,
Unsafe Condition,CABLE TRAY FALL.,Safety - collision,,
QSI Observation,FrPD inspection of extinguishers not done for PIB 3A/B,Safety - fire and explosion,,
Employee Suggestion,I suggest to replace normal door by escape door for building 402.,None,,
Employee Suggestion,The lights at computer gate are controlled by normal switch on/off which most of the time make them working 24/7. Or forgotten on off position that make the cameras at the gate hard to detects personnel that are going in or out.I would propose to ins,Others,,
QSI Observation,First Aid Kit at OME building missing items,Others,,
QSI Observation,Many scaffold in the area not used required removing.,None - minor maintenance,,
Employee Suggestion,there is manway in Q-0004 oily water separator sump I suggest to make confind space warning sign by Stan sling to show that no one allowed to enter with out confind space permit.,Others,,
QSI Observation,Improper storage at the Ac room infront of the shift supervisor office,None - minor maintenance,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Reinstate/fix pH analyzer on raw water line,None - minor maintenance,,
Employee Suggestion,I suggest to install concrete barriers and lights before the computer-gate because there is big downhill on the side of the road*,Safety - fire and explosion,,
Near Miss,seal leaking,None - minor maintenance,,1C
Employee Suggestion,"The current PM cycle for all HVAC systems in plant wide is 3 months cycle, one of the PM procedure is to clean the condenser with water. In hot season, washing the condenser tube while it is hot with water will eventually lead to cracking of the tube",Safety - fire and explosion,,
QSI Observation,three cylinders at GT-2 Analyzer cylinders are not secured by chain,None - minor maintenance,,
Employee Suggestion,"At Inlet shelter, there are electric cables are not covered with cable trays. The electric cables are installed on the scaffold which is not the normal and safe way. I suggest to establish foundation and cable trays .",Others,,1C
Employee Suggestion,as we know our SNGL plant have over than 23000 equipment that required Preventive maintenance frequently moreover. I suggest that to print the PM sheet with two sides of each paper. Benefits: ?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É‚Äö?Ç¬¢ To eliminate spending papers. This will be cost saving,Others,,
Employee Suggestion,At Cogen. PEECs fire extinguishers are not available inside the PEECs.I recommend to avail fire extinguishers inside the PEECs and to be located at PEECs airlock main door to be accessible at any time.,Safety - fire and explosion,,
Unsafe Condition,VIBRATION JUNCTION BOX LEFT OPEN,None - minor maintenance,,
QSI Observation,2- Panelboard load schedule need to update located in generator building near CCR building.,None - minor maintenance,,
QSI Observation,"Confined space warning signs were installed on the supports of D-233 A/B, at an area that is not considered a confined space. Evaluate the need to remove such signs.",Others,,
Employee Suggestion,There no sign for high noise in pipe rack at NGL#1&2 area. So I suggest to put sign with picture to alert the workers who are walking in pipe rack before they reach the noisy area.,Others,,
Near Miss,one worker fail down near D-0006 in launcher area,Safety - slip trip and fall,,2C
QSI Observation,Building #405 most of the lights are defective,Safety - electric,,
Employee Suggestion,it is difficult to get rid of the expired chemical in the lab because we don't have chemical disposal tank and also we have same problem with the broken glass. put in your mind the some chemical can change it's properties with the time and it can bec,Safety - contact with chemicals,,
Unsafe Condition,I found discharge B/V for GM-109 A dropping while the B/V on close position.MMT Issued.,None - minor maintenance,,
Near Miss,Pump motor placed on site.,Others,,
QSI Observation,Light not working at LAB Room - 105,None - minor maintenance,,
QSI Observation,To repair oil mist eliminator of regen gas compressor,Safety - contact with chemicals,,
QSI Observation,Maintenance LOTO filing is not well maintained,None - minor maintenance,,1C
Employee Suggestion,new chemical store been commissioned and utilized. CHBs signs for stored chemical are not installed. My suggestion is to install permanent CHBs as per Saudi Aramco standards.,Others,,
QSI Observation,Remove all hoses and chains at G-0001 A/B/C/D area,None - minor maintenance,,
Employee Suggestion,"during emergency activation rescue team '' medical , security and fire '' will not indicated the effected area or unit precisely , because of unexpected unclear guiddiness from the rovers, street signs or directions .establish an incident area locate",Safety - collision,,
Near Miss,Employee without ARC flash,None,,4C
QSI Observation,Ensure all scaffolds are properly erected and tagged. We observed one YELLOW tagged scaffold without drop bar and with overhead obstruction located at B92-D-0044.,Safety - collision,,
QSI Observation,SCAB check list last filing in 03-23-2018,None - minor maintenance,,
QSI Observation,Chemical Storage Bldg. 209: Make available a chemical hazard board (CHB) or the corresponding material safety data sheet (MSDS) for Nalco?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s ?É¬¢?Ç‚Ç¨?Ç?ìPermatreat PC191T?É¬¢?Ç‚Ç¨?Ç¬ù and ?É¬¢?Ç‚Ç¨?Ç?ìStrabrex ST40?É¬¢?Ç‚Ç¨?Ç¬ù.,None,,
Near Miss,Step near G-0042C.,Safety - slip trip and fall,,2C
Employee Suggestion,"new chemical store has not PPE cabinet nor PPE material. PPE cabinet must provided inside chemical store.Unit Foreman: Please create the required W/O to fix this issue and reply if completed. If not, please create the required W/O with is ETC and clo",Safety - contact with chemicals,,
QSI Observation,Inj#3: Unused insulation material was found left under B93-D-0373 and nearby PZV-3028,Safety - fire and explosion,,
Employee Suggestion,"In Inlet unit manifold, There is not platform under all MOVs which is hard to reach those MOVs panels.To install permanent platform with fixed ladder. This is to assist operators reach the MOVs panels.",Others,,
QSI Observation,Five HP flare blinds at NGL-2 gas cooler area in open postion,None - minor maintenance,,
Near Miss,LOTO faliure,Safety - electric,,4C
Employee Suggestion,Put sign traffic directions after main gate plant at intersection,Safety - collision,,1C
QSI Observation,"Rack Room-107 outside Fire extinguisher 56-108, Proponent inspection record expire date.",Safety - fire and explosion,,
QSI Observation,B90- PE-229 &101 & 102 & 103 &202 &203 &201 (DC30) No SAP Number,Safety - contact with chemicals,,
Employee Suggestion,MS1 substation north door missing exit sign.,None - minor maintenance,,
Employee Suggestion,At CGTG#F in PEECC there is a tags not Aramco standard (instructions) on cubical.,Others,,
QSI Observation,Replace all construction drawings with As Built drawings in all substations.,None - minor maintenance,,
Employee Suggestion,It is very good idea to prevent (slipperiness) at all OME and shelter buildings specially in the kitchens and bathrooms. It was noticed that some of the employees may fall down or getting injured because they got slippery from water escaping on the g,Safety - slip trip and fall,,
QSI Observation,On plat ISF Substation#120 batter room two light not working,None - minor maintenance,,
QSI Observation,On plat ISF Substation#120 batter room Exit sign not working,None - minor maintenance,,
Near Miss,concrete need to be cutted,Safety - contact with chemicals,,1C
Unsafe Condition,REPORTING TRIP HAZURD,Safety - slip trip and fall,,2C
QSI Observation,Remove wooden pallet with new blind and gaskets located next to utility station (US-216).,None - minor maintenance,,
QSI Observation,One DC 30 Extinguesher Located ISF Security gate without SAP number,Safety - fire and explosion,,
QSI Observation,Most of the scaffolds observed at the unit had yellow tags. A Yellow Scaffold Tag indicates the scaffold has been inspected and may be used only by workers wearing a properly anchored personal fall arrest system. A yellow scaffold tag is required whe,None,,
Employee Suggestion,install H2S & LEL detectors at PMT camp,Safety - contact with chemicals,,
Employee Suggestion,we need to install SCPA in Gas treat train #2 in the fin fan platform.,Safety - contact with chemicals,,
Employee Suggestion,"SNGL Have a number of Portable Hydraulic Lifting crane's that used in some not accessible location's and small equipment, those aren't inspected or checked .I suggest to have all these crane's to be inspected frequently and preventive maintenance by ",Safety - collision,,
QSI Observation,OWS #12 near B92-G-0052 A (Cooling water Pump) is dry.,None - minor maintenance,,
QSI Observation,OWS nearby G-0072 not stanciled,None - minor maintenance,,
QSI Observation,OWS nearby G-202A is dry,None - minor maintenance,,
QSI Observation,"Acid Gas#1, Lube oil tank RV, oil leak sign was observed on RV bonnet plug",Safety - fire and explosion,,
QSI Observation,RI substation HVAC room needs re-lamping,None - minor maintenance,,
QSI Observation,"Clean, inspect and repair as necessary 3in bypass piping at the 44in pipeline from GOSP 4 Scrapper Area (upstream of valve ZV-7010). 3in valve has wet marks indicating a possible release. In the case a LOPC is identified, report it as per the require",None - minor maintenance,,
QSI Observation,Connect disengaged drain line flange of B92-D-0651 skid which represents a potential chemical spillage.,Safety - contact with chemicals,,
QSI Observation,DCS Engineering Station is down in PIB 3A,Safety - fire and explosion,,
Employee Suggestion,"In all areas, maintenance technicians need to go to central building to get keys to open the control cabinets. In addition to that, many keys are missed or not easy to find.There should be more a locker in PIB?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢s rooms that hold all keys for differe",Others,,1C
QSI Observation,Toilet at the lab two light not working,Safety - slip trip and fall,,
QSI Observation,PZV-1115 & 1027 without careseal,None,,
QSI Observation,3. The cladding of 32-FV-2001 on the Wet Gas from C-0101/0201 south of D-0201B in NGL-Train #2 was found damaged.,None - minor maintenance,,
Unsafe Condition,GAS SLANDERS WITHOUT CHB LABEL.,Safety - contact with chemicals,,
QSI Observation,Propane Sphere (B95-D-0004) top plate form: 1)PZV-1006 due in 05/09/2018-missing car-seal 2)PZV-1007 due in 04/28/2018-missing car seal.,None - minor maintenance,,
Employee Suggestion,There is shortage in parking around the Inlet & Gas Treat OME Building. Expand the parking lot of Inlet & Gas Treat OME building To be able to contain more cars. Make the parking similar to the CCR parking where two cars can be parked facing each oth,None,,
QSI Observation,most of the utility stations have missing connection and some connection not as standard,None - minor maintenance,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ OME electrical room used to store Fire extinguisher and SCBA cylinders,Safety - fire and explosion,,
QSI Observation,* PIB3B instrument alrms and Hardware alarms must be tracked with Utility and unit supervisors/Foremen must have clear plans on trqcking alarms.,Safety - fire and explosion,,1C
QSI Observation,B48-PIV-006 & 008 rabbing need repair,None - minor maintenance,,
Employee Suggestion,There is not utility station next to HP Flare K.O Drum man wayTo install utility station next to HP Flare K.O Drum man way. This is needed during T&I activity and maintenance activity.,None,,1C
QSI Observation,Install the drains missing Plugs of G-0108B,None - minor maintenance,,
QSI Observation,2. Three orange coated isolation valves on LIT-1153 B at D-0001A were found without car-seals.,Safety - slip trip and fall,,
QSI Observation,G-0203 A/B/C having seal leak,None - minor maintenance,,
Employee Suggestion,Install lighting arresters for all 230KV step down and step up XFRs in SNGLP to protect them from surge voltage. .,None - minor maintenance,,
Employee Suggestion,Install label at the door of the buildings specifically the buildings the have electrical equipment that specify the PPE required to enter the buildings.,Safety - collision,,
Unsafe Condition,While I am a standby near RMU a car has been entered area without work permit i stopped him and I ask him why you go in without permission he tell I know am wrong but I need update for excavation,Safety - fire and explosion,,1C
QSI Observation,All shipper pumps skids are dirty and not maintained,None - minor maintenance,,1C
Unsafe Condition,STEM INDICATOR CONDITION,Safety - fire and explosion,,
Employee Suggestion,TO INSTALL FIRE BLANKET AT ADMIN BLDG 120 INTRANCE.,Safety - fire and explosion,,
QSI Observation,Remove unused special scaffold located north of the substation,None - minor maintenance,,
Unsafe Condition,When we was working on RMU T&I to install E-0004 tube the truck which was holding the tube was not groundeddone,Safety - slip trip and fall,,
QSI Observation,SCBA 392-SB-805 was low prussure,None - minor maintenance,,
QSI Observation,Dropping water leak was observed from the upstream flange for PV-3661-A (south of D-0007).,None - minor maintenance,,
Near Miss,lean amine spilled in the area,Safety - fire and explosion,,2C
Employee Suggestion,"The emergency console in CCR should be used only for emergency, but it has been noticed that a lot of engineers and employees utilize the it for their daily job or any other non-emergency job. I suggest to install ""Only For Emergency"" sign nearby the",Others,,1C
QSI Observation,B-50-GIB-XFR(T)-704 remove the accumulated sand from the yard,None - minor maintenance,,
Near Miss,Monkey ladder ( unsafe condation ),None - minor maintenance,,1C
Unsafe Condition,NEAR UTILITY- B48-PIV-011,Safety - collision,,
Employee Suggestion,Covering ESD button by plastic/metal cover.,None - minor maintenance,,
Employee Suggestion,I suggest to install High voltage caution at GM-0009A Local panel .,Safety - electric,,3C
Employee Suggestion,We need to install ladder near PV-*559,Safety - slip trip and fall,,1C
QSI Observation,Fire extinguisher (B95-PE-117) doesn?É¬¢?Ç‚Ç¨?Ç‚Ñ¢t have inspection tag (,Safety - fire and explosion,,
QSI Observation,"Gas Treat#1, Up & down stream spools for RVs Tag numbers 1108/1107/1208/1207 (re-boilers RVs) have high vibration. Specialist and process units shall evaluate the root causes and provide the required recommendations to be implemented.",None - minor maintenance,,
QSI Observation,"Most of fire hose reels were faded need stanciling, FHR-09, FHR-07",Safety - fire and explosion,,
Employee Suggestion,I?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢VE NOTICED MOST CONTRACTORS TAKE REST AT SUBSTATION OR ELECTRIC ROOM THIS IS NOT SAFE SOMEONE COULD GET INJURED OR PLAY WITH THE BRAKERS SO I SUGGEST TO PUT SHADED AREA FOR THEM AND THEY ARE PEOPLE TOO SO WE SHOULD CARE ABOUT THEIR WELLBEING.,None - minor maintenance,,1C
QSI Observation,The unit doesn?É¬¢?Ç‚Ç¨?Ç‚Ñ¢t maintain record log for any car-seal removal or re-installation event,None - minor maintenance,,
QSI Observation,LOTO procedure should be followed and any changes to procedure should be reviewed with Loos Prevention.,Others,,1C
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ All Emergency Exit sign at CO2 Shelters are not working.,None - minor maintenance,,
QSI Observation,Eyewash in the lab has low water pressure and no pressure gauge.,None - minor maintenance,,3C
Employee Suggestion,"Scott Air Pak installed outside the buildings GIS/MS1/EDG without numbering. numbers to be obtained for them and be labeled or stenciled in the location, also to be added to ESO or UT Scott Air Pak checklist .",Others,,
Employee Suggestion,"I suggest to install interlocking skid top of D-0118,D-117 and D-116 at NG-1 unit.",None - minor maintenance,,
Employee Suggestion,There is ladder for G-0042 suction without safety guard.I suggest to install safety guard to this ladder.,Safety - slip trip and fall,,3C
Employee Suggestion,"One missing step on launcher area near by 24"" INJETION PIPELINE . The step there around 70 CM and this too high for one stepadd one step more",Safety - slip trip and fall,,
QSI Observation,B90-303-FP-001 in substation has a standing trouble alarm,Safety - fire and explosion,,
QSI Observation,"OME Building 308, HVAC Room. Install locks in electrical switch breakers B93-HU-308-01-DS and B93-HU-308-02-DS, which were found in the ?É¬¢?Ç‚Ç¨?Ç?ìOff?É¬¢?Ç‚Ç¨?Ç¬ù position but without locks.",None - minor maintenance,,
QSI Observation,SEXT 774 not in its place,None - minor maintenance,,
QSI Observation,"Check/confirm if RMU pressured sewer sump B95-D-0010 is deeper than 1.2 meters. If so, identify with corresponding warning sign as a confined space.",None - minor maintenance,,
Employee Suggestion,"Launcher area has ESD-Tag in D-0005 11-PI-2040A/B and C it has as DCC tag white tag ,so its suppose to mark with red label since its ESD Tag . I suggest change it to red label to be inform this ESD Tag to avoid any incident.",Safety - electric,,
Employee Suggestion,some line are not stenciling on amine sump,None - minor maintenance,,
Employee Suggestion,TO install Display screen in CCR to display Safety instruction,Others,,
QSI Observation,"Laboratory: Gas cylinders, kept outside the Laboratory building, shall be safely stored. Oxidizing agent cylinders should be separated from flammable gas cylinders by a minimum of 6.1 meters (20 ft) or by a noncombustible barrier that is 1.5 meters h",Safety - fire and explosion,,
Employee Suggestion,the iterance door steps in RO building #207 is not slope.I suggest to make door steps for RO building #207 entrance (east door) slope to make chemical filling more safely and more easily by using trolley to transfer chemical drum instead of lifting i,Others,,
QSI Observation,There is A0 Size drawing inside UPS room of PIB-3 that needs to be removed or replaced with As-Built drawing.,None - minor maintenance,,
Employee Suggestion,distance between the ladder and bridle,None - minor maintenance,,
QSI Observation,Valve leak in 6?É¬¢?Ç‚Ç¨?Ç¬ù utility water header just upstream B95-PIT-1006. Water is currently dripping on nearby instruments and platform. Rust has already developed,None - minor maintenance,,
QSI Observation,"A scaffold, erected near refrigeration suction drum D-118A, is observed without a tag holder. All scaffolds shall be tagged with a standards SA holder per the requirements of GI 8.001.",Others,,
QSI Observation,Some hose reels are not inspected by FrPD (H).,Safety - fire and explosion,,
QSI Observation,B90-PE-217 (DC30) SAP # 4522862# Cartridge pushed and extinguisher pressurized,Safety - fire and explosion,,1C
Near Miss,Detached ground jumper,Safety - electric,,2C
QSI Observation,CO2-10LB SAP#4523282(474) located outdoor Building#402,None - minor maintenance,,
QSI Observation,"All fire equipment (Hydrants, Monitors and Hose Reels ?É¬¢?Ç‚Ç¨?Ç¬¶) need to repaint (red color). As per reference of FrPD T&I Checklists/ LPD QSI Guide # 05-002-2012",None - minor maintenance,,
QSI Observation,Operator Shelter Store: Arrange the store and remove all unneeded materials.,Safety - collision,,
QSI Observation,fire extigusher B48-FE-309 was not inspected for October,Safety - fire and explosion,,
Near Miss,Gas leak,Safety - contact with chemicals,,5C
Employee Suggestion,"Sometime we need to know the time while we are in the field like, when we will close the permit we don't know the time. I suggest all radio activate the time in the radio.",Safety - contact with chemicals,,
Unsafe Condition,CCR ENTRANCE BROKEN FLAGSTONES,Safety - fire and explosion,,
QSI Observation,"Operator Shelter Bldg. 305, Electrical Room 109. Install arc flash warning labels in electrical panels (all panel are 480v).",Safety - fire and explosion,,
Employee Suggestion,There is ladder for G-0042F suction without safety guard.No safety guard for this ladder.,Safety - slip trip and fall,,
QSI Observation,"Inspect, repair or replace as necessary electrical conduit system located at pump B95-G-0005C. Flexible conduit is broken, one conduit junction enclosure is missing its cap / lid and wires are left exposed while the pump is in operation.",None - minor maintenance,,
Employee Suggestion,"Water well #894, 895 & 896 in Sabkha# 63 there's no Fire Extinguisher. I suggest to provide an LP 150 Extinguisher in in each water well.",Safety - fire and explosion,,
Employee Suggestion,There are underground cable covet at SNGL plant main gate Entrance and Exit that causes trips/trips hazards because the have a handle that is little bit prominent above of ground level.I highly propose to mark or paint these underground cable by caut,Safety - slip trip and fall,,2C
Employee Suggestion,Good day Every trip in NGL unit for any reason level or temperature in (Pre-condition or Cryogenic system) We lose all the feed gas to HP flare and we are start the Propane system again and this system Will take time to running. So that?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢s mean more,None - minor maintenance,,
Employee Suggestion,I highly suggest to install a escaping light instead of siren towers especially in the high noisy areas ( Compression & CGTG's)Install escaping lights in the noisy areas and connected to the emergency system to be activated during emergency.,Safety - fire and explosion,,
